participant_id,participant_code,included,date_utc,batch_id,typing_order,rating_order_index,browser_version,color_depth,screen_width,screen_height,device_pixel_ratio,fullscreen_at_submission,environment_confirmed,refresh_hz,session_duration_min,boundary_space_compatible_trials
89,P078,True,2026-09-10,sep10_12,ABBA,2,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,4.9935,1
90,P079,True,2026-09-10,sep10_12,BAAB,2,129.0.0.0,24,1920,1080,1,True,1,238.09523809519686,6.07965,0
91,P080,True,2026-09-10,sep10_12,ABBA,3,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,5.0465,0
92,P081,True,2026-09-10,sep10_12,BAAB,3,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,4.887316666666666,0
93,P082,True,2026-09-10,sep10_12,ABBA,4,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,5.637533333333334,2
94,P083,True,2026-09-10,sep10_12,BAAB,4,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,4.914883333333333,1
95,P084,True,2026-09-10,sep10_12,ABBA,5,129.0.0.0,24,1920,1080,1,True,1,238.0952380954031,6.289933333333334,1
96,P085,True,2026-09-10,sep10_12,BAAB,5,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,4.821,2
97,P086,True,2026-09-10,sep10_12,ABBA,0,129.0.0.0,24,1920,1080,1,True,1,238.09523809519686,7.068333333333333,1
98,P087,True,2026-09-10,sep10_12,BAAB,0,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,5.031549999999999,2
99,P088,True,2026-09-10,sep10_12,ABBA,1,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,5.651633333333334,1
100,P089,True,2026-09-10,sep10_12,BAAB,1,129.0.0.0,24,1920,1080,1,True,1,238.0952380954031,5.8219,0
101,P090,True,2026-09-10,sep10_12,ABBA,2,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,5.233233333333334,2
102,P091,True,2026-09-10,sep10_12,BAAB,2,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,5.022883333333334,0
103,P092,True,2026-09-10,sep10_12,ABBA,3,129.0.0.0,24,1920,1080,1,True,1,238.0952380954031,6.534883333333334,0
104,P093,True,2026-09-10,sep10_12,BAAB,3,129.0.0.0,24,1920,1080,1,True,1,238.0952380954031,5.6056333333333335,0
105,P094,True,2026-09-10,sep10_12,ABBA,4,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,6.611516666666666,0
106,P095,True,2026-09-12,sep10_12,BAAB,4,129.0.0.0,24,1920,1080,1,True,1,238.0952380954031,11.838099999999999,2
107,P096,True,2026-09-12,sep10_12,ABBA,5,129.0.0.0,24,1920,1080,1,True,1,238.09523809622803,7.456433333333334,0
108,P097,True,2026-09-12,sep10_12,BAAB,5,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,6.2166500000000005,1
109,P098,True,2026-09-12,sep10_12,ABBA,0,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,5.7508333333333335,1
110,P099,True,2026-09-12,sep10_12,BAAB,0,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,4.946183333333334,0
111,P100,True,2026-09-12,sep10_12,ABBA,1,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,5.293283333333333,2
112,P101,True,2026-09-12,sep10_12,BAAB,1,129.0.0.0,24,1920,1080,1,True,1,238.09523809622803,8.599083333333335,3
113,P102,True,2026-09-12,sep10_12,ABBA,2,129.0.0.0,24,1920,1080,1,True,1,238.09523809622803,8.153116666666667,4
114,P103,True,2026-09-12,sep10_12,BAAB,2,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,6.007633333333334,0
115,P104,True,2026-09-12,sep10_12,ABBA,3,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,5.5324,1
116,P105,True,2026-09-12,sep10_12,BAAB,3,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,7.3204666666666665,1
117,P106,True,2026-09-12,sep10_12,ABBA,4,129.0.0.0,24,1920,1080,1,True,1,238.09523809529998,5.440733333333333,0
