participant_id,participant_code,included,batch_id,kind,condition,order_index,view_duration_ms,observed_effective_cycle_hz,observed_full_cycle_hz,dropped_frame_rate,long_frame_intervals,max_frame_interval_ms,rating_base_below_50hz,drop_over_1pct_review_only
69,P059,True,sep08,typing,masked,2,,60.000700154033865,48.00056012322709,0,0,4.800000000017462,False,False
69,P059,True,sep08,typing,control,3,,240.00160034407384,240.00160034407384,0,0,4.600000000005821,False,False
69,P059,True,sep08,rating,n4_mask_only,0,14786,59.81514440579248,59.81514440579248,0.003089887640449438,1,50,False,False
69,P059,True,sep08,rating,deployed_full,1,11174,58.17787418655083,46.542299349240665,0.030018083182640144,1,354.30000000001746,False,True
69,P059,True,sep08,rating,n4_mask_noise,2,10333,59.78323755158721,59.78323755158721,0.0036159100040176776,1,41.70000000001164,False,False
69,P059,True,sep08,rating,control_anchor,3,10342,240.00154714937784,240.00154714937784,0,0,4.5,False,False
69,P059,True,sep08,rating,n3_mask_noise,4,10321,79.58300816063068,79.58300816063068,0.005218787635487756,1,58.29999999998836,False,False
69,P059,True,sep08,rating,n2_mask_noise,5,10293,119.1337132498294,119.1337132498294,0.007231820008035355,1,79.19999999995343,False,False
70,,False,sep08,typing,masked,0,,60.000700154033915,48.00056012322713,0,0,4.5,False,False
70,,False,sep08,typing,control,1,,240.00160034407384,240.00160034407384,0,0,4.5,False,False
70,,False,sep08,typing,control,2,,240.0004000840178,240.0004000840178,0,0,4.699999999982538,False,False
70,,False,sep08,typing,masked,3,,60.00060000600001,48.00048000480001,0,0,4.600000000005821,False,False
70,,False,sep08,rating,n4_mask_only,0,10467,59.73888899454194,59.73888899454194,0.004358161648177496,1,50,False,False
70,,False,sep08,rating,deployed_full,1,10908,58.17829491817722,46.54263593454178,0.03001111522786217,1,345.8999999999942,False,True
70,,False,sep08,rating,n4_mask_noise,2,10605,59.78939853649824,59.78939853649824,0.0035225048923679062,1,41.600000000034925,False,False
70,,False,sep08,rating,control_anchor,3,10559,240.00379003221528,240.00379003221528,0,0,4.300000000046566,False,False
70,,False,sep08,rating,n3_mask_noise,4,10395,79.58447720076914,79.58447720076914,0.0051813471502590676,1,58.40000000002328,False,False
