participant_code,batch_id,condition,order_index,n,view_duration_ms,readability,stability,immediate_comfort,observed_base_cycle_hz,observed_full_cycle_hz,dropped_frame_rate
P036,july,n2_mask_noise,5,2,10351,4,4,4,119.0909787984513,119.0909787984513,0.0075878594249201275
P037,july,n4_mask_only,0,4,13818,5,5,5,59.80240147117153,59.80240147117153,0.0033052884615384615
P037,july,deployed_full,1,4,15011,5,4,2,58.58536585365853,46.86829268292682,0.023312550826782324
P037,july,n4_mask_noise,2,4,11692,5,5,4,59.80851045689792,59.80851045689792,0.003197158081705151
P037,july,control_anchor,3,1,11070,5,5,5,240.00289051279475,240.00289051279475,0
P037,july,n3_mask_noise,4,3,11119,4,5,3,79.5837433282643,79.5837433282643,0.005218039508013418
P037,july,n2_mask_noise,5,2,10834,5,5,4,119.67754700139008,119.67754700139008,0.0026840490797546013
P038,july,deployed_full,0,4,23104,4,2,5,58.96878536000209,47.17502828800167,0.017018259173905335
P038,july,control_anchor,1,1,10814,5,5,5,240.00221967370743,240.00221967370743,0
P038,july,n4_mask_only,2,4,12110,4,5,5,59.89714257456757,59.89714257456757,0.001717032967032967
P038,july,n2_mask_noise,3,2,10565,4,5,5,119.24906462105376,119.24906462105376,0.00626713670191931
P038,july,n4_mask_noise,4,4,11071,4,5,5,59.73095218826147,59.73095218826147,0.004496065942300487
P038,july,n3_mask_noise,5,3,10788,4,5,5,79.17503830310396,79.17503830310396,0.010321100917431193
P039,july,control_anchor,0,1,14918,5,5,5,240.00160939888912,240.00160939888912,0
P039,july,n2_mask_noise,1,2,10436,5,5,4,119.19149624582485,119.19149624582485,0.0067406819984139575
P039,july,deployed_full,2,4,12028,3,3,2,58.304329217575344,46.643463374060275,0.0279367216425446
P039,july,n3_mask_noise,3,3,10573,4,4,3,79.74962764653749,79.74962764653749,0.003142183817753339
P039,july,n4_mask_only,4,4,10256,4,4,3,59.82989064398542,59.82989064398542,0.0028351559335763467
P039,july,n4_mask_noise,5,4,10337,5,4,4,59.49640287769784,59.49640287769784,0.008393285371702638
P040,july,control_anchor,0,1,26126,5,5,3,240.00183733464158,240.00183733464158,0
P040,july,n2_mask_noise,1,2,11805,3,5,2,119.32732065111752,119.32732065111752,0.005614035087719298
P040,july,deployed_full,2,4,11500,2,2,1,58.18709258494142,46.549674067953134,0.029876977152899824
P040,july,n3_mask_noise,3,3,11229,3,5,3,79.73419961065123,79.73419961065123,0.0033284023668639054
P040,july,n4_mask_only,4,4,16056,3,3,2,59.89121989121988,59.89121989121988,0.001813001813001813
P040,july,n4_mask_noise,5,4,14479,3,3,3,59.640236913805715,59.640236913805715,0.006005147269087789
P041,july,n2_mask_noise,0,2,21660,5,5,5,119.63274886096904,119.63274886096904,0.0030680728667305847
P041,july,n3_mask_noise,1,3,14314,4,5,4,79.67536231884058,79.67536231884058,0.004057971014492754
P041,july,control_anchor,2,1,10422,5,5,5,239.99923200245732,239.99923200245732,0
P041,july,n4_mask_noise,3,4,10590,4,4,4,59.74148061104583,59.74148061104583,0.004308656482569526
P041,july,deployed_full,4,4,10632,3,1,3,58.19840364880273,46.55872291904218,0.029657794676806085
P041,july,n4_mask_only,5,4,10476,3,4,4,59.73928493382346,59.73928493382346,0.00435471100554236
P042,july,n2_mask_noise,0,2,11338,5,5,5,119.2572925702971,119.2572925702971,0.006206644760861628
P042,july,n3_mask_noise,1,3,10756,5,5,5,79.6308975284197,79.6308975284197,0.004626060138781804
P042,july,control_anchor,2,1,10670,5,5,5,240.0007497094872,240.0007497094872,0
