participant_code,batch_id,condition,order_index,n,view_duration_ms,readability,stability,immediate_comfort,observed_base_cycle_hz,observed_full_cycle_hz,dropped_frame_rate
P090,sep10_12,deployed_full,5,4,10568,3,1,2,57.92228911810111,46.33783129448089,0.03427265803503427
P091,sep10_12,n3_mask_noise,0,3,18016,4,5,4,79.74269885881625,79.74269885881625,0.003227293683725219
P091,sep10_12,n4_mask_noise,1,4,10980,4,5,4,59.66073757426472,59.66073757426472,0.005660377358490566
P091,sep10_12,n2_mask_noise,2,2,10556,5,5,5,119.48321388155448,119.48321388155448,0.004322200392927309
P091,sep10_12,n4_mask_only,3,4,12034,3,5,3,59.83497228826823,59.83497228826823,0.002761477390403866
P091,sep10_12,control_anchor,4,1,10502,5,5,5,240.00228573605412,240.00228573605412,0
P091,sep10_12,deployed_full,5,4,13138,2,2,2,58.31680530475727,46.653444243805815,0.027760641579272053
P092,sep10_12,n4_mask_noise,0,4,26300,5,4,4,59.86768984496789,59.86768984496789,0.002212739054844318
P092,sep10_12,n4_mask_only,1,4,14160,4,4,3,59.85967581732491,59.85967581732491,0.002348106838861168
P092,sep10_12,n3_mask_noise,2,3,15003,5,5,4,79.71293603042412,79.71293603042412,0.0035971223021582736
P092,sep10_12,deployed_full,3,4,17777,4,1,2,58.73379519996472,46.98703615997177,0.020885930686252007
P092,sep10_12,n2_mask_noise,4,2,10558,5,5,5,119.52923869069537,119.52923869069537,0.003929273084479371
P092,sep10_12,control_anchor,5,1,13814,5,5,5,240.00173756914035,240.00173756914035,0
P093,sep10_12,n4_mask_noise,0,4,18173,4,3,3,59.79503544932642,59.79503544932642,0.003427004797806717
P093,sep10_12,n4_mask_only,1,4,20129,4,4,4,59.901400137881126,59.901400137881126,0.0016532341392849763
P093,sep10_12,n3_mask_noise,2,3,12184,4,5,5,79.61913472374171,79.61913472374171,0.004763525008506295
P093,sep10_12,deployed_full,3,4,10393,4,2,3,57.955179468104895,46.36414357448392,0.03372093023255814
P093,sep10_12,n2_mask_noise,4,2,10561,5,5,5,119.62399841445101,119.62399841445101,0.0031458906802988595
P093,sep10_12,control_anchor,5,1,10486,5,5,5,240.00305250305223,240.00305250305223,0
P094,sep10_12,n4_mask_only,0,4,30513,4,4,4,59.935178667888884,59.935178667888884,0.0010912563088255353
P094,sep10_12,deployed_full,1,4,16689,3,2,3,58.639264593945775,46.91141167515662,0.02244997559785261
P094,sep10_12,n4_mask_noise,2,4,16814,4,4,4,59.793301253940825,59.793301253940825,0.0034567901234567903
P094,sep10_12,control_anchor,3,1,10806,5,5,5,240.00148091928116,240.00148091928116,0
P094,sep10_12,n3_mask_noise,4,3,23609,3,4,4,79.80371609820948,79.80371609820948,0.0024647887323943664
P094,sep10_12,n2_mask_noise,5,2,11681,4,4,4,119.48999420447949,119.48999420447949,0.004261363636363636
P095,sep10_12,n4_mask_only,0,4,57511,5,4,4,59.948392253625144,59.948392253625144,0.0008688097306689834
P095,sep10_12,deployed_full,1,4,43659,4,2,2,59.49528103669548,47.59622482935639,0.00832938949361098
P095,sep10_12,n4_mask_noise,2,4,45278,5,5,4,59.91791130362663,59.91791130362663,0.0013784230839919132
P095,sep10_12,control_anchor,3,1,24926,5,5,5,240.00192579278422,240.00192579278422,0
P095,sep10_12,n3_mask_noise,4,3,38418,4,5,4,79.88820329949287,79.88820329949287,0.0014078405891271388
P095,sep10_12,n2_mask_noise,5,2,28589,5,5,5,119.8087808557374,119.8087808557374,0.0016004655899898152
P096,sep10_12,deployed_full,0,4,23904,5,1,3,59.05374024177342,47.242992193418736,0.015614275909402883
P096,sep10_12,control_anchor,1,1,10622,5,5,5,240.001507073827,240.001507073827,0
P096,sep10_12,n4_mask_only,2,4,11633,5,5,5,59.82931615070242,59.82931615070242,0.002856122813280971
P096,sep10_12,n2_mask_noise,3,2,10668,5,5,5,119.48863901460366,119.48863901460366,0.0042768273716951785
P096,sep10_12,n4_mask_noise,4,4,11053,5,5,5,59.68557647312899,59.68557647312899,0.005249343832020997
P096,sep10_12,n3_mask_noise,5,3,11719,5,5,5,79.68951401577927,79.68951401577927,0.003895184135977337
P097,sep10_12,deployed_full,0,4,11576,5,4,5,58.03496737493725,46.427973899949805,0.032426778242677826
P097,sep10_12,control_anchor,1,1,12390,5,5,5,239.8404830715077,239.8404830715077,0.0006727211570803902
P097,sep10_12,n4_mask_only,2,4,11225,5,5,4,59.82348188203127,59.82348188203127,0.0029596744358120607
P097,sep10_12,n2_mask_noise,3,2,10332,5,5,3,119.47085970845283,119.47085970845283,0.004415897230028101
P097,sep10_12,n4_mask_noise,4,4,10565,5,5,3,59.67114984611639,59.67114984611639,0.005490196078431373
P097,sep10_12,n3_mask_noise,5,3,10312,4,5,3,79.55096755952694,79.55096755952694,0.005622489959839358
P098,sep10_12,control_anchor,0,1,11678,5,5,5,239.9993150215772,239.9993150215772,0
P098,sep10_12,n2_mask_noise,1,2,12204,4,5,4,119.55102040816327,119.55102040816327,0.0037414965986394557
P098,sep10_12,deployed_full,2,4,15479,2,2,2,58.51798588377779,46.81438870702223,0.02444794952681388
P098,sep10_12,n3_mask_noise,3,3,12189,2,5,2,79.70114115685178,79.70114115685178,0.003746594005449591
P098,sep10_12,n4_mask_only,4,4,16842,3,4,2,59.88219119633994,59.88219119633994,0.0019753086419753087
P098,sep10_12,n4_mask_noise,5,4,20293,2,4,2,59.816485821368296,59.816485821368296,0.0030699959066721244
P099,sep10_12,control_anchor,0,1,10790,5,5,5,240.00444967693454,240.00444967693454,0
P099,sep10_12,n2_mask_noise,1,2,10276,5,5,5,119.4684694282754,119.4684694282754,0.00443906376109766
P099,sep10_12,deployed_full,2,4,10229,4,4,4,57.87964805401789,46.303718443214315,0.03498427672955975
P099,sep10_12,n3_mask_noise,3,3,11198,4,5,4,79.6156160428726,79.6156160428726,0.004816598740274175
P099,sep10_12,n4_mask_only,4,4,10128,4,5,4,59.80437499384988,59.80437499384988,0.003280032800328003
P099,sep10_12,n4_mask_noise,5,4,10379,4,5,4,59.64233744351669,59.64233744351669,0.005983246908655764
P100,sep10_12,n2_mask_noise,0,2,15748,5,5,4,119.55785435276681,119.55785435276681,0.0036929570034291742
P100,sep10_12,n3_mask_noise,1,3,10968,4,5,4,79.5780820261732,79.5780820261732,0.005289006422364941
P100,sep10_12,control_anchor,2,1,10919,5,5,5,240.0014656578048,240.0014656578048,0
P100,sep10_12,n4_mask_noise,3,4,11963,3,5,3,59.68864605942657,59.68864605942657,0.005197505197505198
P100,sep10_12,deployed_full,4,4,12079,3,2,2,58.23209217434658,46.585673739477265,0.029155495978552277
P100,sep10_12,n4_mask_only,5,4,10551,4,4,3,59.90615569451402,59.90615569451402,0.0015766653527788726
P101,sep10_12,n2_mask_noise,0,2,41731,4,5,5,119.86969436578924,119.86969436578924,0.001097037997407001
P101,sep10_12,n3_mask_noise,1,3,12201,4,5,4,79.62017261914465,79.62017261914465,0.004758667573079538
P101,sep10_12,control_anchor,2,1,11246,5,5,3,240.0028455320698,240.0028455320698,0
P101,sep10_12,n4_mask_noise,3,4,14724,4,3,4,59.746811474633716,59.746811474633716,0.00422654268808115
P101,sep10_12,deployed_full,4,4,10966,2,1,1,57.99389630779532,46.39511704623625,0.03308823529411765
P101,sep10_12,n4_mask_only,5,4,20183,3,4,2,59.938626014650566,59.938626014650566,0.0010311404413281089
P102,sep10_12,n3_mask_noise,0,3,17279,5,5,4,79.67399975011773,79.67399975011773,0.004084574723690533
P102,sep10_12,n4_mask_noise,1,4,13164,5,5,4,59.7168363683091,59.7168363683091,0.004724409448818898
P102,sep10_12,n2_mask_noise,2,2,10468,5,5,5,119.4768133174792,119.4768133174792,0.004359889021006738
P102,sep10_12,n4_mask_only,3,4,10467,4,5,4,59.8100934294611,59.8100934294611,0.0031746031746031746
P102,sep10_12,control_anchor,4,1,10510,5,5,5,240.00076130296898,240.00076130296898,0
P102,sep10_12,deployed_full,5,4,10679,3,1,1,57.898828463985986,46.31906277118879,0.0346646571213263
P103,sep10_12,n3_mask_noise,0,3,33448,4,5,3,79.86152560582553,79.86152560582553,0.001740860482467048
P103,sep10_12,n4_mask_noise,1,4,19966,3,4,3,59.800971188733044,59.800971188733044,0.0033270950301517986
P103,sep10_12,n2_mask_noise,2,2,11490,4,5,3,119.43737116527235,119.43737116527235,0.004691447130999639
P103,sep10_12,n4_mask_only,3,4,18361,4,4,3,59.94580801018556,59.94580801018556,0.000906823849467241
P103,sep10_12,control_anchor,4,1,11566,5,5,3,240.00138329327595,240.00138329327595,0
P103,sep10_12,deployed_full,5,4,10145,4,1,3,57.564778113086106,46.051822490468886,0.04022082018927445
P104,sep10_12,n4_mask_noise,0,4,16388,4,4,3,59.77276319468935,59.77276319468935,0.003799392097264438
P104,sep10_12,n4_mask_only,1,4,19073,4,4,4,59.895751562156526,59.895751562156526,0.0017444395987788923
P104,sep10_12,n3_mask_noise,2,3,11032,5,5,5,79.58045951103698,79.58045951103698,0.005259203606311044
P104,sep10_12,deployed_full,3,4,11790,3,3,2,58.191179615403826,46.55294369232306,0.02982516283853274
P104,sep10_12,n2_mask_noise,4,2,10872,5,5,5,119.63586692457925,119.63586692457925,0.0030557677616501145
P104,sep10_12,control_anchor,5,1,10742,5,5,5,240.00223517797684,240.00223517797684,0
P105,sep10_12,n4_mask_noise,0,4,42043,4,5,3,59.90562341033397,59.90562341033397,0.001583217890362161
P105,sep10_12,n4_mask_only,1,4,14898,4,5,3,59.849864730935046,59.849864730935046,0.0025111607142857145
P105,sep10_12,n3_mask_noise,2,3,14570,4,5,3,79.68191036069908,79.68191036069908,0.003987467957846767
P105,sep10_12,deployed_full,3,4,18586,4,1,3,58.788025744964564,47.03042059597165,0.01999121265377856
P105,sep10_12,n2_mask_noise,4,2,19663,5,5,3,119.72141990568501,119.72141990568501,0.002326565143824027
P105,sep10_12,control_anchor,5,1,11774,5,5,5,240.00271861486667,240.00271861486667,0
P106,sep10_12,n4_mask_only,0,4,16192,4,4,4,59.87737999876752,59.87737999876752,0.0020539152759948653
P106,sep10_12,deployed_full,1,4,11253,4,3,3,58.00369368208565,46.40295494566852,0.03293949158610813
P106,sep10_12,n4_mask_noise,2,4,17123,4,5,4,59.84065786868239,59.84065786868239,0.0026692550351856345
P106,sep10_12,control_anchor,3,1,10422,5,5,5,240.00307081098174,240.00307081098174,0
P106,sep10_12,n3_mask_noise,4,3,10418,5,5,5,79.58707640804826,79.58707640804826,0.005171042163882259
P106,sep10_12,n2_mask_noise,5,2,10589,5,5,5,119.48520771248356,119.48520771248356,0.004308656482569526
