participant_code,batch_id,condition,trial_index,condition_repetition,n,requested_n,components,duration_s,accuracy,wpm,cpm,attempted_chars,attempted_letters,correct_chars,correct_letters,total_chars,edit_distance,aligned_target_chars,msd_error_rate,scoring_method,first_key_latency_ms,text_storage_status
P083,sep10_12,masked,0,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.7837837837837838,17.400000000000002,87.0,37,32,29,25,219,8,37,0.21621621621621623,msd_target_prefix_v1,292.80000000074506,direct_match
P083,sep10_12,control,1,1,1,1,none,20.0,0.9473684210526316,21.6,108.0,38,33,36,31,220,2,38,0.05263157894736842,msd_target_prefix_v1,375.0,direct_match
P083,sep10_12,control,2,2,1,1,none,20.0,1.0,24.599999999999998,123.0,41,35,41,35,220,0,41,0.0,msd_target_prefix_v1,317.5,direct_match
P083,sep10_12,masked,3,2,4,4,mask+noise+anti-ocr+inversion,20.0,0.9714285714285714,20.400000000000002,102.0,34,28,34,28,220,1,35,0.02857142857142857,msd_target_prefix_v1,381.80000000074506,compatible_with_stripped_boundary_spaces
P084,sep10_12,control,0,1,1,1,none,20.0,0.9696969696969697,19.200000000000003,96.0,33,28,32,27,219,1,33,0.030303030303030304,msd_target_prefix_v1,333.0,direct_match
P084,sep10_12,masked,1,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.9130434782608696,12.600000000000001,63.0,23,20,21,18,220,2,23,0.08695652173913043,msd_target_prefix_v1,847.3000000007451,direct_match
P084,sep10_12,masked,2,2,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,16.8,84.0,28,24,28,24,220,0,28,0.0,msd_target_prefix_v1,285.5,compatible_with_stripped_boundary_spaces
P084,sep10_12,control,3,2,1,1,none,20.0,1.0,19.200000000000003,96.0,32,27,32,27,220,0,32,0.0,msd_target_prefix_v1,557.0,direct_match
P085,sep10_12,masked,0,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.9148936170212766,25.8,129.0,47,40,43,36,220,4,47,0.0851063829787234,msd_target_prefix_v1,246.7000000011176,direct_match
P085,sep10_12,control,1,1,1,1,none,20.0,1.0,33.6,168.0,56,48,56,48,220,0,56,0.0,msd_target_prefix_v1,364.40000000037253,compatible_with_stripped_boundary_spaces
P085,sep10_12,control,2,2,1,1,none,20.0,0.9622641509433962,30.599999999999998,153.0,53,45,51,43,220,2,53,0.03773584905660377,msd_target_prefix_v1,534.3000000007451,compatible_with_stripped_boundary_spaces
P085,sep10_12,masked,3,2,4,4,mask+noise+anti-ocr+inversion,20.0,0.9777777777777777,26.400000000000002,132.0,45,38,44,37,220,1,45,0.022222222222222223,msd_target_prefix_v1,243.90000000037253,direct_match
P086,sep10_12,control,0,1,1,1,none,20.0,1.0,25.200000000000003,126.0,42,37,42,37,220,0,42,0.0,msd_target_prefix_v1,262.4000000022352,direct_match
P086,sep10_12,masked,1,1,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,22.8,114.0,38,33,38,33,219,0,38,0.0,msd_target_prefix_v1,365.9000000022352,direct_match
P086,sep10_12,masked,2,2,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,24.599999999999998,123.0,41,35,41,35,220,0,41,0.0,msd_target_prefix_v1,239.19999999925494,direct_match
P086,sep10_12,control,3,2,1,1,none,20.0,1.0,26.400000000000002,132.0,44,37,44,37,220,0,44,0.0,msd_target_prefix_v1,351.9000000022352,compatible_with_stripped_boundary_spaces
P087,sep10_12,masked,0,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.9743589743589743,22.8,114.0,39,33,38,32,220,1,39,0.02564102564102564,msd_target_prefix_v1,645.1999999992549,compatible_with_stripped_boundary_spaces
P087,sep10_12,control,1,1,1,1,none,20.0,0.9166666666666666,20.400000000000002,102.0,36,31,34,30,220,3,36,0.08333333333333333,msd_target_prefix_v1,270.3999999985099,direct_match
P087,sep10_12,control,2,2,1,1,none,20.0,1.0,22.8,114.0,38,32,38,32,220,0,38,0.0,msd_target_prefix_v1,351.19999999925494,compatible_with_stripped_boundary_spaces
P087,sep10_12,masked,3,2,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,22.200000000000003,111.0,37,32,37,32,219,0,37,0.0,msd_target_prefix_v1,1176.5,direct_match
P088,sep10_12,control,0,1,1,1,none,20.0,1.0,15.600000000000001,78.0,26,23,26,23,220,0,26,0.0,msd_target_prefix_v1,439.69999999925494,direct_match
P088,sep10_12,masked,1,1,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,19.8,99.0,33,29,33,29,220,0,33,0.0,msd_target_prefix_v1,1279.4000000022352,direct_match
P088,sep10_12,masked,2,2,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,18.6,93.0,31,26,31,26,219,0,31,0.0,msd_target_prefix_v1,845.3999999985099,compatible_with_stripped_boundary_spaces
P088,sep10_12,control,3,2,1,1,none,20.0,1.0,21.6,108.0,36,31,36,31,220,0,36,0.0,msd_target_prefix_v1,368.30000000074506,direct_match
P089,sep10_12,masked,0,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.9433962264150944,30.0,150.0,53,44,50,42,220,3,52,0.05660377358490566,msd_target_prefix_v1,318.5,direct_match
P089,sep10_12,control,1,1,1,1,none,20.0,1.0,31.8,159.0,53,45,53,45,220,0,53,0.0,msd_target_prefix_v1,325.5,direct_match
P089,sep10_12,control,2,2,1,1,none,20.0,1.0,25.8,129.0,43,36,43,36,219,0,43,0.0,msd_target_prefix_v1,320.19999999925494,direct_match
P089,sep10_12,masked,3,2,4,4,mask+noise+anti-ocr+inversion,20.0,0.9833333333333333,35.400000000000006,177.0,60,50,59,49,220,1,60,0.016666666666666666,msd_target_prefix_v1,376.3999999985099,direct_match
P090,sep10_12,control,0,1,1,1,none,20.0,1.0,16.200000000000003,81.0,27,23,27,23,220,0,27,0.0,msd_target_prefix_v1,968.1999999992549,compatible_with_stripped_boundary_spaces
P090,sep10_12,masked,1,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.9411764705882353,19.200000000000003,96.0,34,30,32,28,220,2,33,0.058823529411764705,msd_target_prefix_v1,412.5,direct_match
P090,sep10_12,masked,2,2,4,4,mask+noise+anti-ocr+inversion,20.0,0.967741935483871,18.0,90.0,31,27,30,26,220,1,31,0.03225806451612903,msd_target_prefix_v1,293.9000000022352,compatible_with_stripped_boundary_spaces
P090,sep10_12,control,3,2,1,1,none,20.0,1.0,21.6,108.0,36,32,36,32,219,0,36,0.0,msd_target_prefix_v1,422.4000000022352,direct_match
P091,sep10_12,masked,0,1,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,39.0,195.0,65,56,65,56,220,0,65,0.0,msd_target_prefix_v1,533.5999999977648,direct_match
P091,sep10_12,control,1,1,1,1,none,20.0,0.9710144927536232,40.2,201.0,69,59,67,57,220,2,69,0.028985507246376812,msd_target_prefix_v1,357.70000000298023,direct_match
P091,sep10_12,control,2,2,1,1,none,20.0,0.9322033898305084,33.0,165.0,58,49,55,46,220,4,59,0.06779661016949153,msd_target_prefix_v1,503.0,direct_match
P091,sep10_12,masked,3,2,4,4,mask+noise+anti-ocr+inversion,20.0,0.9824561403508771,33.6,168.0,57,49,56,48,220,1,57,0.017543859649122806,msd_target_prefix_v1,376.1000000014901,direct_match
P092,sep10_12,control,0,1,1,1,none,20.0,0.9482758620689655,33.6,168.0,58,49,56,47,220,3,58,0.05172413793103448,msd_target_prefix_v1,302.5999999977648,direct_match
P092,sep10_12,masked,1,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.9565217391304348,26.400000000000002,132.0,46,40,44,38,219,2,46,0.043478260869565216,msd_target_prefix_v1,335.0,direct_match
P092,sep10_12,masked,2,2,4,4,mask+noise+anti-ocr+inversion,20.0,0.9487179487179487,22.200000000000003,111.0,39,35,37,33,220,2,37,0.05128205128205128,msd_target_prefix_v1,488.19999999925494,direct_match
P092,sep10_12,control,3,2,1,1,none,20.0,0.9583333333333334,27.599999999999998,138.0,47,40,46,39,219,2,48,0.041666666666666664,msd_target_prefix_v1,420.6000000014901,direct_match
P093,sep10_12,masked,0,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.9714285714285714,20.400000000000002,102.0,35,31,34,30,220,1,35,0.02857142857142857,msd_target_prefix_v1,431.8999999985099,direct_match
P093,sep10_12,control,1,1,1,1,none,20.0,1.0,21.6,108.0,36,31,36,31,220,0,36,0.0,msd_target_prefix_v1,468.4000000022352,direct_match
P093,sep10_12,control,2,2,1,1,none,20.0,1.0,21.0,105.0,35,30,35,30,220,0,35,0.0,msd_target_prefix_v1,565.1999999992549,direct_match
