participant_code,batch_id,typing_order,control_wpm,control_cpm,control_accuracy,control_attempted_chars,control_first_key_latency_ms,masked_wpm,masked_cpm,masked_accuracy,masked_attempted_chars,masked_first_key_latency_ms,delta_wpm,delta_cpm,delta_accuracy,delta_attempted_chars,delta_first_key_latency_ms
P055,july,ABBA,15.900000000000002,79.5,0.8490073145245559,31,471.44999999925494,16.5,82.5,0.9814814814814815,28,402.90000000037253,0.5999999999999979,3.0,0.1324741669569256,-3,-68.54999999888241
P056,july,BAAB,19.5,97.5,0.941722972972973,33,1107.2500000018626,21.300000000000004,106.5,1.0,35.5,1543.0999999996275,1.8000000000000043,9.0,0.05827702702702697,2.5,435.8499999977648
P057,sep08,ABBA,23.4,117.0,1.0,39,775.1000000000931,21.6,108.0,1.0,36,631.550000000163,-1.7999999999999972,-9.0,0.0,-3,-143.54999999993015
P058,sep08,BAAB,16.5,82.5,1.0,27.5,532.0,18.0,90.0,1.0,30,623.6000000000931,1.5,7.5,0.0,2.5,91.60000000009313
P059,sep08,ABBA,23.400000000000002,117.0,0.9746031746031746,39.5,343.55000000004657,24.9,124.5,0.9666666666666667,42,894.9499999999534,1.4999999999999964,7.5,-0.007936507936507908,2.5,551.3999999999069
P060,sep08,ABBA,21.6,108.0,0.984375,36.5,931.25,20.4,102.0,0.9714052287581699,35,515.2500000002328,-1.2000000000000028,-6.0,-0.012969771241830075,-1.5,-415.99999999976717
P061,sep08,BAAB,23.700000000000003,118.5,1.0,39.5,303.30000000004657,17.1,85.5,0.9660138248847927,29.5,487.4000000001397,-6.600000000000001,-33.0,-0.033986175115207296,-10.0,184.10000000009313
P062,sep08,ABBA,21.0,105.0,1.0,35,566.6000000000931,20.1,100.5,0.9390243902439024,33.5,743.0,-0.8999999999999986,-4.5,-0.060975609756097615,-1.5,176.39999999990687
P063,sep08,BAAB,19.200000000000003,96.0,0.9419913419913419,34,439.45000000018626,21.0,105.0,0.96875,36,2298.5,1.7999999999999972,9.0,0.026758658008658065,2,1859.0499999998137
P064,sep08,ABBA,20.700000000000003,103.5,0.9852941176470589,35,575.4999999995343,22.200000000000003,111.0,1.0,37,587.0,1.5,7.5,0.014705882352941124,2,11.500000000465661
P065,sep08,BAAB,20.400000000000002,102.0,1.0,34,754.8999999999069,16.8,84.0,0.965352449223417,29,1447.5,-3.6000000000000014,-18.0,-0.03464755077658299,-5,692.6000000000931
P066,sep10_12,ABBA,26.700000000000003,133.5,0.9772727272727273,45,570.5,23.1,115.5,0.9594594594594594,40,943.75,-3.6000000000000014,-18.0,-0.017813267813267863,-5,373.25
P067,sep10_12,BAAB,39.0,195.0,0.9848484848484849,66,298.9999999998836,32.7,163.5,1.0,54.5,362.70000000018626,-6.299999999999997,-31.5,0.015151515151515138,-11.5,63.70000000030268
P068,sep10_12,ABBA,20.700000000000003,103.5,0.8542875564152159,36.5,334.0999999998603,18.0,90.0,0.9536842105263158,31,849.9499999999534,-2.700000000000003,-13.5,0.09939665411109988,-5.5,515.8500000000931
P069,sep10_12,BAAB,24.6,123.0,0.9888888888888889,41.5,468.19999999995343,25.5,127.5,0.962972972972973,43,502.4000000001397,0.8999999999999986,4.5,-0.02591591591591591,1.5,34.200000000186265
P070,sep10_12,ABBA,21.0,105.0,1.0,35,431.55000000004657,19.8,99.0,0.9852941176470589,33.5,305.45000000018626,-1.1999999999999993,-6.0,-0.014705882352941124,-1.5,-126.0999999998603
P071,sep10_12,BAAB,23.4,117.0,0.986842105263158,39,267.19999999995343,19.8,99.0,0.970357454228422,33.5,829.5,-3.599999999999998,-18.0,-0.016484651034735953,-5.5,562.3000000000466
P072,sep10_12,ABBA,19.800000000000004,99.0,0.9857142857142858,33.5,582.9499999999534,21.0,105.0,0.9838709677419355,35.5,451.10000000009313,1.1999999999999957,6.0,-0.0018433179723502668,2.0,-131.8499999998603
P073,sep10_12,BAAB,39.3,196.5,0.9618055555555556,68,239.14999999990687,33.900000000000006,169.5,0.9925373134328358,57,282.99999999953434,-5.3999999999999915,-27.0,0.03073175787728022,-11,43.84999999962747
P074,sep10_12,ABBA,30.0,150.0,1.0,50,453.5500000002794,27.9,139.5,0.9891304347826086,46.5,473.1999999997206,-2.1000000000000014,-10.5,-0.010869565217391353,-3.5,19.649999999441206
P075,sep10_12,BAAB,18.0,90.0,0.9714285714285714,31,459.64999999990687,14.7,73.5,0.9814814814814815,24.5,705.3500000000931,-3.3000000000000007,-16.5,0.010052910052910091,-6.5,245.70000000018626
P076,sep10_12,ABBA,22.8,114.0,1.0,38,446.5500000002794,18.6,93.0,0.9373219373219372,33,609.5999999996275,-4.199999999999999,-21.0,-0.06267806267806275,-5,163.04999999934807
P077,sep10_12,BAAB,39.900000000000006,199.5,0.9929577464788732,67,399.2499999990687,34.2,171.0,0.9661016949152543,58.5,350.2999999988824,-5.700000000000003,-28.5,-0.02685605156361892,-8.5,-48.950000000186265
P078,sep10_12,ABBA,18.6,93.0,0.9684729064039409,31.5,1234.9500000001863,21.900000000000002,109.5,0.9743589743589743,36.5,310.2500000009313,3.3000000000000007,16.5,0.005886067955033436,5.0,-924.6999999992549
P079,sep10_12,BAAB,36.300000000000004,181.5,1.0,60.5,202.79999999981374,29.1,145.5,0.9595028067361668,50.5,466.84999999962747,-7.200000000000003,-36.0,-0.040497193263833164,-10.0,264.04999999981374
P080,sep10_12,ABBA,19.5,97.5,1.0,32.5,1174.3499999996275,18.0,90.0,0.9821428571428572,30.5,429.90000000037253,-1.5,-7.5,-0.017857142857142794,-2.0,-744.4499999992549
P081,sep10_12,BAAB,22.200000000000003,111.0,0.9878048780487805,37.5,956.4499999992549,20.700000000000003,103.5,1.0,34.5,611.7000000001863,-1.5,-7.5,0.012195121951219523,-3.0,-344.7499999990687
P082,sep10_12,ABBA,21.900000000000002,109.5,1.0,36.5,811.8999999994412,18.3,91.5,0.9696969696969697,31.5,1078.2999999998137,-3.6000000000000014,-18.0,-0.030303030303030276,-5.0,266.40000000037253
P083,sep10_12,BAAB,23.1,115.5,0.9736842105263158,39.5,346.25,18.900000000000002,94.5,0.8776061776061777,35.5,337.30000000074506,-4.199999999999999,-21.0,-0.09607803292013817,-4.0,-8.949999999254942
P084,sep10_12,ABBA,19.200000000000003,96.0,0.9848484848484849,32.5,445.0,14.700000000000001,73.5,0.9565217391304348,25.5,566.4000000003725,-4.500000000000002,-22.5,-0.02832674571805005,-7.0,121.40000000037253
P085,sep10_12,BAAB,32.1,160.5,0.9811320754716981,54.5,449.3500000005588,26.1,130.5,0.9463356973995272,46,245.30000000074506,-6.0,-30.0,-0.03479637807217095,-8.5,-204.04999999981374
P086,sep10_12,ABBA,25.800000000000004,129.0,1.0,43,307.1500000022352,23.7,118.5,1.0,39.5,302.55000000074506,-2.100000000000005,-10.5,0.0,-3.5,-4.600000001490116
P087,sep10_12,BAAB,21.6,108.0,0.9583333333333333,37,310.7999999988824,22.5,112.5,0.9871794871794872,38,910.8499999996275,0.8999999999999986,4.5,0.028846153846153966,1,600.0500000007451
P088,sep10_12,ABBA,18.6,93.0,1.0,31,404.0,19.200000000000003,96.0,1.0,32,1062.4000000003725,0.6000000000000014,3.0,0.0,1,658.4000000003725
P089,sep10_12,BAAB,28.8,144.0,1.0,48,322.84999999962747,32.7,163.5,0.9633647798742138,56.5,347.44999999925494,3.900000000000002,19.5,-0.03663522012578624,8.5,24.59999999962747
P090,sep10_12,ABBA,18.900000000000002,94.5,1.0,31.5,695.3000000007451,18.6,93.0,0.9544592030360531,32.5,353.2000000011176,-0.3000000000000007,-1.5,-0.04554079696394686,1.0,-342.09999999962747
P091,sep10_12,BAAB,36.6,183.0,0.9516089412920659,63.5,430.3500000014901,36.3,181.5,0.9912280701754386,61,454.84999999962747,-0.30000000000000426,-1.5,0.03961912888337271,-2.5,24.499999998137355
P092,sep10_12,ABBA,30.6,153.0,0.9533045977011494,52.5,361.59999999962747,24.300000000000004,121.5,0.9526198439241917,42.5,411.59999999962747,-6.299999999999997,-31.5,-0.0006847537769576473,-10.0,50.0
