participant_code,participant_id,condition,trial_index,condition_repetition,n,requested_n,components,target_text,typed_text,correct_chars,correct_letters,attempted_chars,attempted_letters,total_chars,accuracy,cpm,wpm,duration_s,edit_distance,aligned_target_chars,msd_error_rate,scoring_method,first_key_latency_ms,mask_meta_json
P029,36,masked,0,1,4,4,mask+noise+anti-ocr+inversion,ovap sonekug odir zomag duti orere ezawobu kiruko geredid viwis upakud wononol pukogo eweruf egomodi enob ofobe iliga anubin udeti wumo idamapo tubilip evirit ropuka bunuvi abesa sale viboda onebig inumi oredumi mufot ur,ovap somekug odir zomag duti orer,32,27,33,28,220,0.9696969696969697,96.0,19.200000000000003,20.0,1,33,0.030303030303030304,msd_target_prefix_v1,335.3999999985099,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 34915, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [58339, 58264, 58951, 58446], ""cycle_hz"": 59.523809523824994, ""cycles"": 6, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 260, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.5, ""mean_frame_interval_ms"": 4.166645833333335, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 60.00030000149999, ""observed_full_cycle_hz"": 48.00024000119999, ""observed_refresh_hz"": 240.00120000599995, ""per_cycle_slots"": 5, ""permutation"": [3, 1, 0, 2], ""refresh_hz"": 238.09523809529998, ""rendered_frames"": 4801, ""safe_flicker_hz"": 50, ""timing_intervals"": 4800, ""width"": 900}"
P029,36,control,1,1,1,1,none,adudote atod kigo orobon bunepo akuwa umud tanamo osugub imufawu edobodo vodedov obawiga zulefip ipiz arowep umebuk ugedani papi ramikod okav odobifo mozub vule fizewu ikufot edev pifalir okop megeput mitop kozifo sutut,adudote atod kigo orobon bunepo,31,27,31,27,219,1.0,93.0,18.6,20.0,0,31,0.0,msd_target_prefix_v1,1598.300000000745,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.09523809529998, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 260, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.5, ""mean_frame_interval_ms"": 4.166618045426128, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.00280061613566, ""observed_full_cycle_hz"": 240.00280061613566, ""observed_refresh_hz"": 240.00280061613566, ""per_cycle_slots"": 1, ""refresh_hz"": 238.09523809529998, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P029,36,control,2,2,1,1,none,ewin weveda kadivik ozepo suni tutapo fowulo apisu linonu bonituz egobom mabu ivib wuru suseka luba zowa mika kigo dorawuv sadoku pirivut ediv ufalowo edole azesil fikif pewuget pogek uzub elusuga igurew izez wokun edutu,ewin weveda kadivik ozepo sun,29,25,29,25,220,1.0,87.0,17.400000000000002,20.0,0,29,0.0,msd_target_prefix_v1,1686.7999999970198,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.09523809529998, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 260, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.600000000005821, ""mean_frame_interval_ms"": 4.166645833333332, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.0012000060001, ""observed_full_cycle_hz"": 240.0012000060001, ""observed_refresh_hz"": 240.0012000060001, ""per_cycle_slots"": 1, ""refresh_hz"": 238.09523809529998, ""rendered_frames"": 4801, ""safe_flicker_hz"": 50, ""timing_intervals"": 4800, ""width"": 900}"
P029,36,masked,3,2,4,4,mask+noise+anti-ocr+inversion,vafon memuviv zoneti rotafik fosab akug wewid apumi kenunu adovuwe bitunid kiror idefen givibos zusuz abiso ivor fomep ezif genid rukadem fikame uzis nefis imuni enosa kinuru fidekes onorofe ivir elus lako zemi kivu ufer,vafonmenmuvivzoneti ro,21,20,22,21,220,0.8695652173913043,63.0,12.600000000000001,20.0,3,23,0.13043478260869565,msd_target_prefix_v1,2015.6000000014901,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 34377, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [58872, 57923, 58654, 58551], ""cycle_hz"": 59.523809523824994, ""cycles"": 6, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 260, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.5, ""mean_frame_interval_ms"": 4.1666388831006484, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 60.00040008601846, ""observed_full_cycle_hz"": 48.000320068814766, ""observed_refresh_hz"": 240.00160034407384, ""per_cycle_slots"": 5, ""permutation"": [0, 2, 3, 1], ""refresh_hz"": 238.09523809529998, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P030,37,control,0,1,1,1,none,wawaz elamone uvuzuru zade kenaz odozo newu pase utumo ozif ofadib enifis rapimog oziz awenil kezalig edazo niwilil apetu ered zoketog fekoso sero nonas bokuzi ezelosi rizomes titib mude uwinar akidozu ated bugawez vemef,wawaz elamone uvuzuru zade ken,30,26,30,26,220,1.0,90.0,18.0,20.0,0,30,0.0,msd_target_prefix_v1,535.0,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.09523809519686, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 260, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.600000000005821, ""mean_frame_interval_ms"": 4.166638883100642, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.00160034407418, ""observed_full_cycle_hz"": 240.00160034407418, ""observed_refresh_hz"": 240.00160034407418, ""per_cycle_slots"": 1, ""refresh_hz"": 238.09523809519686, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P030,37,masked,1,1,4,4,mask+noise+anti-ocr+inversion,vowava poda uluzani izoku ibavo ofizel ezeve sakupuk ewuf dewen kozid azin nesi fefu atelola sakuge etogag fabo ivudod ofivif pabe vutupi abiru vupig arado igewifi imenona inowebi gasuw fezu edok esogak emoma witep metod,vowava pode uluazani izoku ibav,29,25,31,27,220,0.935483870967742,87.0,17.400000000000002,20.0,2,30,0.06451612903225806,msd_target_prefix_v1,727.7999999970198,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 34909, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [58422, 58304, 58463, 58811], ""cycle_hz"": 59.523809523799216, ""cycles"": 6, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 260, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.7000000000116415, ""mean_frame_interval_ms"": 4.166645833333332, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 60.00030000150002, ""observed_full_cycle_hz"": 48.00024000120002, ""observed_refresh_hz"": 240.0012000060001, ""per_cycle_slots"": 5, ""permutation"": [1, 3, 2, 0], ""refresh_hz"": 238.09523809519686, ""rendered_frames"": 4801, ""safe_flicker_hz"": 50, ""timing_intervals"": 4800, ""width"": 900}"
P030,37,masked,2,2,4,4,mask+noise+anti-ocr+inversion,meral ipomi iwefo ewalog ukonaw vitozib ekisuwu gafa asizid tegil ukuri izawewo enimir gadu oguwu tokula nulevo idulo ozubise idozufi runeri bopene weri zilif vivopa avizone gonut irov kodew avat vuwelap ofevu pegin uwos,meral ipomi iwefo ewalog ukonaw e,32,27,33,28,220,0.9696969696969697,96.0,19.200000000000003,20.0,1,33,0.030303030303030304,msd_target_prefix_v1,1126.7999999970198,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 34546, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [58316, 58286, 58958, 58440], ""cycle_hz"": 59.523809523799216, ""cycles"": 6, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 260, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.599999999976717, ""mean_frame_interval_ms"": 4.1666388831006484, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 60.00040008601846, ""observed_full_cycle_hz"": 48.000320068814766, ""observed_refresh_hz"": 240.00160034407384, ""per_cycle_slots"": 5, ""permutation"": [0, 2, 1, 3], ""refresh_hz"": 238.09523809519686, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P030,37,control,3,2,1,1,none,uzev sameg fudit kuwutam tubak ukutepo lukewi dubu lape iduve lime ipid vifep esebilo rivefa kuvesuw nusibeb aniro rasiru ninofa evufu onupa nigamu amumova fonub ekipib edawini dokugu fenug widawu veduno osewuva uwaza ag,uzev sameg fudit kuwuta tab,26,22,27,23,220,0.9285714285714286,78.0,15.600000000000001,20.0,2,28,0.07142857142857142,msd_target_prefix_v1,743.5,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.09523809519686, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 260, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.5, ""mean_frame_interval_ms"": 4.1666388831006484, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.00160034407384, ""observed_full_cycle_hz"": 240.00160034407384, ""observed_refresh_hz"": 240.00160034407384, ""per_cycle_slots"": 1, ""refresh_hz"": 238.09523809519686, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P031,39,control,0,1,1,1,none,efugiw vubatit ewekuta ozob awope sapo izugi inub asogusi afabebo ororuni fumo idibimo zabov odarude opefan akavo dopi puni zikus otodaso zugo fotiga rotupo nowo nowim ofemaw basit tokoru laroduf puti owabewo fineg uneva,efugiw vubatit ewwluta ozob awope,32,27,34,29,220,0.9411764705882353,96.0,19.200000000000003,20.0,2,34,0.058823529411764705,msd_target_prefix_v1,663.3000000007451,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.0952380954031, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 260, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.600000000005821, ""mean_frame_interval_ms"": 4.1666388831006484, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.00160034407384, ""observed_full_cycle_hz"": 240.00160034407384, ""observed_refresh_hz"": 240.00160034407384, ""per_cycle_slots"": 1, ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
P031,39,masked,1,1,4,4,mask+noise+anti-ocr+inversion,robus zuvume mabisig zired gedino osew pasoted owodof ivutawa gazov pilove tozuwu davuvub zevo gulo kuwun wodikim emawe eleni olis otudi wavo sera matoveb amizisa lodigo bari upimuv owefonu awul orif lubiko sobiv pudeb n,robus zuvume rabisig zired gedino nos,35,30,37,32,220,0.9459459459459459,105.0,21.0,20.0,2,36,0.05405405405405406,msd_target_prefix_v1,342.8999999985099,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 34583, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [58509, 58603, 58598, 58290], ""cycle_hz"": 59.52380952385077, ""cycles"": 6, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 260, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.599999999976717, ""mean_frame_interval_ms"": 4.166618045426132, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 60.000700154033865, ""observed_full_cycle_hz"": 48.00056012322709, ""observed_refresh_hz"": 240.00280061613546, ""per_cycle_slots"": 5, ""permutation"": [1, 0, 3, 2], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 4800, ""safe_flicker_hz"": 50, ""timing_intervals"": 4799, ""width"": 900}"
