participant_code,participant_id,condition_label,display_label,n,requested_n,components,stimulus_text,readability,flicker,fatigue,privacy,order_index,view_duration_ms,view_started_at,view_submitted_at,mask_meta_json
P027,34,n3_mask_noise,层数 3，遮罩 + 噪声,3,3,mask+noise,vivafal efaf filevi noper vobovul povu iguwoke emaw milipas vekun efavi vilasib dobomid upab redez menuwiz wibog gako onopifa ozupo nolub nakalim ulob ugef omokini sawiwu,3,3,3,,4,10564,2026-07-08T06:27:41.811Z,2026-07-08T06:27:52.375Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [69020, 68970, 69010], ""cycle_hz"": 79.36507936506563, ""cycles"": 1, ""dropped_frame_rate"": 0.008212749315604223, ""dropped_frames"": 21, ""epsilonPixels"": 8, ""frame_count"": 3, ""gamma"": 3.3000000000000003, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 91.70000000001164, ""mean_frame_interval_ms"": 4.20114353312302, ""mode"": ""temporal"", ""n"": 3, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 79.34347653329095, ""observed_full_cycle_hz"": 79.34347653329095, ""observed_refresh_hz"": 238.03042959987286, ""per_cycle_slots"": 3, ""permutation"": [2, 0, 1], ""refresh_hz"": 238.09523809519686, ""rendered_frames"": 2537, ""safe_flicker_hz"": 50, ""timing_intervals"": 2536, ""width"": 900}"
P027,34,n2_mask_noise,层数 2，遮罩 + 噪声,2,2,mask+noise,azew dogis todit bali ubovi lose azemeku faneno sosed ubofi okuge ifilede umubap berinul ilaled sava uvik uwur gimirop abiwag mowevum ufated emoz mubutor bevadu gifo elep,3,4,4,,5,10378,2026-07-08T06:27:52.422Z,2026-07-08T06:28:02.799Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [103301, 103699], ""cycle_hz"": 119.04761904759843, ""cycles"": 1, ""dropped_frame_rate"": 0.0036, ""dropped_frames"": 9, ""epsilonPixels"": 8, ""frame_count"": 2, ""gamma"": 2.2, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 41.70000000001164, ""mean_frame_interval_ms"": 4.181694098755511, ""mode"": ""temporal"", ""n"": 2, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 119.5687652400978, ""observed_full_cycle_hz"": 119.5687652400978, ""observed_refresh_hz"": 239.1375304801956, ""per_cycle_slots"": 2, ""permutation"": [1, 0], ""refresh_hz"": 238.09523809519686, ""rendered_frames"": 2492, ""safe_flicker_hz"": 50, ""timing_intervals"": 2491, ""width"": 900}"
P028,35,deployed_full,实际部署完整配置,4,4,mask+noise+anti-ocr+inversion,bizemad wana zege afos imoni idiwazo utorugi owefel usig lakoma itow laduku osokoga paseded afisunu fodav denik elolimi ugifop imew ofofol ebovuke efapina dusiwe befot ge,5,5,5,,0,12205,2026-07-08T06:32:09.290Z,2026-07-08T06:32:21.495Z,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 26037, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [51605, 51922, 51872, 51601], ""cycle_hz"": 59.52380952385077, ""cycles"": 6, ""dropped_frame_rate"": 0.02755644090305445, ""dropped_frames"": 83, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 2, ""max_frame_interval_ms"": 350, ""mean_frame_interval_ms"": 4.286138613861388, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 58.32755832755831, ""observed_full_cycle_hz"": 46.66204666204665, ""observed_refresh_hz"": 233.31023331023323, ""per_cycle_slots"": 5, ""permutation"": [1, 2, 0, 3], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 2930, ""safe_flicker_hz"": 50, ""timing_intervals"": 2929, ""width"": 900}"
P028,35,control_anchor,未遮罩原文（量表锚点）,1,1,none,elot apiv imek leve mugoke velare sotov bofali izil alabage ezaro obos nubokuw ubesul nofik ekeful lovupe umobam mawupod apil ovav ipepupu zusune sipil ogapete werukad lo,5,5,5,,1,10503,2026-07-08T06:32:21.497Z,2026-07-08T06:32:31.999Z,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.0952380954031, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 230, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.600000000005821, ""mean_frame_interval_ms"": 4.166626984126982, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.00228573605477, ""observed_full_cycle_hz"": 240.00228573605477, ""observed_refresh_hz"": 240.00228573605477, ""per_cycle_slots"": 1, ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 2521, ""safe_flicker_hz"": 50, ""timing_intervals"": 2520, ""width"": 900}"
P028,35,n4_mask_only,层数 4，仅遮罩,4,4,mask-only,abuk viwisa sawut tolev irul uzilibu olida ibenet uluk vipupo libis sipaka uwibu gabo tovot apol eluwez nironen isiwu gisuru odorop zusufi nozu igupus pifo uzewe oliwane,5,5,5,,2,10756,2026-07-08T06:32:32.051Z,2026-07-08T06:32:42.807Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [51698, 52083, 51809, 51410], ""cycle_hz"": 59.52380952385077, ""cycles"": 1, ""dropped_frame_rate"": 0.004242190512919399, ""dropped_frames"": 11, ""epsilonPixels"": 8, ""frame_count"": 4, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 50, ""mean_frame_interval_ms"": 4.184353214562355, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 59.746390225842276, ""observed_full_cycle_hz"": 59.746390225842276, ""observed_refresh_hz"": 238.9855609033691, ""per_cycle_slots"": 4, ""permutation"": [2, 1, 0, 3], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 2583, ""safe_flicker_hz"": 50, ""timing_intervals"": 2582, ""width"": 900}"
P028,35,n2_mask_noise,层数 2，遮罩 + 噪声,2,2,mask+noise,pema ubip izirew nilez inuko ukap nawid urob gumifek nidugu ledise oworus ikanab awumob afunub vorila fasol obuteru okazo fanaba pulubon usumi todaf bife maror tebam ipow,5,5,5,,3,10807,2026-07-08T06:32:42.848Z,2026-07-08T06:32:53.655Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [103161, 103839], ""cycle_hz"": 119.04761904770155, ""cycles"": 1, ""dropped_frame_rate"": 0.0030745580322828594, ""dropped_frames"": 8, ""epsilonPixels"": 8, ""frame_count"": 2, ""gamma"": 2.2, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 37.5, ""mean_frame_interval_ms"": 4.179491133384725, ""mode"": ""temporal"", ""n"": 2, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 119.63178866587982, ""observed_full_cycle_hz"": 119.63178866587982, ""observed_refresh_hz"": 239.26357733175965, ""per_cycle_slots"": 2, ""permutation"": [1, 0], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 2595, ""safe_flicker_hz"": 50, ""timing_intervals"": 2594, ""width"": 900}"
P028,35,n4_mask_noise,层数 4，遮罩 + 噪声,4,4,mask+noise,avat efeg razug mave levodi uwosa ipetefe fakuwek figoko bales zobogo afeduga zoki imemofu mituro nafe nosus nusokon enabi negopo ekofa owefak weve efozi ovug urezoz ofes,5,5,5,,4,11424,2026-07-08T06:32:53.711Z,2026-07-08T06:33:05.135Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [51611, 51796, 51825, 51768], ""cycle_hz"": 59.52380952385077, ""cycles"": 1, ""dropped_frame_rate"": 0.004355716878402904, ""dropped_frames"": 12, ""epsilonPixels"": 8, ""frame_count"": 4, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 54.100000000034925, ""mean_frame_interval_ms"": 4.184834123222749, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 59.739524348810875, ""observed_full_cycle_hz"": 59.739524348810875, ""observed_refresh_hz"": 238.9580973952435, ""per_cycle_slots"": 4, ""permutation"": [2, 3, 1, 0], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 2744, ""safe_flicker_hz"": 50, ""timing_intervals"": 2743, ""width"": 900}"
P028,35,n3_mask_noise,层数 3，遮罩 + 噪声,3,3,mask+noise,ewamu ifudego aluw edozori lalu iwuru owaw igukivo rewifad agofige kumosez togulit ameduwi dapeg nogof uborani udir omofev mezi kigimu uputab ibepaba ogopifa isolod akama,5,5,5,,5,11635,2026-07-08T06:33:05.189Z,2026-07-08T06:33:16.823Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [68925, 69077, 68998], ""cycle_hz"": 79.36507936513436, ""cycles"": 1, ""dropped_frame_rate"": 0.0039229671897289585, ""dropped_frames"": 11, ""epsilonPixels"": 8, ""frame_count"": 3, ""gamma"": 3.3000000000000003, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 50, ""mean_frame_interval_ms"": 4.183029001074098, ""mode"": ""temporal"", ""n"": 3, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 79.6870720350592, ""observed_full_cycle_hz"": 79.6870720350592, ""observed_refresh_hz"": 239.0612161051776, ""per_cycle_slots"": 3, ""permutation"": [0, 2, 1], ""refresh_hz"": 238.0952380954031, ""rendered_frames"": 2794, ""safe_flicker_hz"": 50, ""timing_intervals"": 2793, ""width"": 900}"
P029,36,deployed_full,实际部署完整配置,4,4,mask+noise+anti-ocr+inversion,ewapo epika ufeni inowo bafu etep tiwewe vinira ilita erufi totoza tomazaw kelowo awugole obizak tagofom upusozo dota azurowo rude fatukib otagik awuvine bapa gekiw oropu,5,1,3,,0,22018,2026-07-08T06:37:21.413Z,2026-07-08T06:37:43.431Z,"{""anti_ocr"": {""glyph_alpha"": 0.12, ""profile"": ""strong"", ""salient_pixels"": 25660, ""stripe_alpha"": 0.1, ""stripe_width"": 10}, ""completeness_ok"": true, ""counts"": [51958, 51824, 51518, 51700], ""cycle_hz"": 59.523809523824994, ""cycles"": 6, ""dropped_frame_rate"": 0.017478616586091483, ""dropped_frames"": 94, ""epsilonPixels"": 8, ""frame_count"": 30, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": true, ""inversion_alpha"": 0.2, ""inversion_flicker_warn"": true, ""long_frame_intervals"": 2, ""max_frame_interval_ms"": 395.79999999998836, ""mean_frame_interval_ms"": 4.241559424678273, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 58.94058646106622, ""observed_full_cycle_hz"": 47.152469168852974, ""observed_refresh_hz"": 235.76234584426487, ""per_cycle_slots"": 5, ""permutation"": [0, 2, 3, 1], ""refresh_hz"": 238.09523809529998, ""rendered_frames"": 5285, ""safe_flicker_hz"": 50, ""timing_intervals"": 5284, ""width"": 900}"
P029,36,control_anchor,未遮罩原文（量表锚点）,1,1,none,ukiropa ifok ifuwu itep usevofu ewet alez opunom amito omoliwi bizo pekol aselora nizet ovosili ipawom sibev zole ezodik fozudin kozofid totoruf damake ekelil zagiwen owi,4,1,3,,1,23742,2026-07-08T06:37:43.433Z,2026-07-08T06:38:07.175Z,"{""anti_ocr"": {""profile"": ""off""}, ""cycle_hz"": 238.09523809529998, ""cycles"": 1, ""dropped_frame_rate"": 0, ""dropped_frames"": 0, ""frame_count"": 1, ""height"": 230, ""insert_inversion"": false, ""long_frame_intervals"": 0, ""max_frame_interval_ms"": 4.600000000005821, ""mean_frame_interval_ms"": 4.1666198666198655, ""mode"": ""source_control"", ""n"": 1, ""observed_effective_cycle_hz"": 240.00269571297403, ""observed_full_cycle_hz"": 240.00269571297403, ""observed_refresh_hz"": 240.00269571297403, ""per_cycle_slots"": 1, ""refresh_hz"": 238.09523809529998, ""rendered_frames"": 5699, ""safe_flicker_hz"": 50, ""timing_intervals"": 5698, ""width"": 900}"
P029,36,n4_mask_only,层数 4，仅遮罩,4,4,mask-only,vawoto givu amoz usipore esiw budom azokup tibob ivepi pege refi wupiku otim pululud anigabe uwad owotof elemo lawivil ibuk tuvatum olebu ologaro owepu agepusu dabi fapep,4,5,3,,2,24942,2026-07-08T06:38:07.201Z,2026-07-08T06:38:32.143Z,"{""anti_ocr"": {""profile"": ""off""}, ""completeness_ok"": true, ""counts"": [51621, 52008, 51865, 51506], ""cycle_hz"": 59.523809523824994, ""cycles"": 1, ""dropped_frame_rate"": 0.0006676681689200467, ""dropped_frames"": 4, ""epsilonPixels"": 8, ""frame_count"": 4, ""gamma"": 4.4, ""height"": 230, ""insert_inversion"": false, ""inversion_alpha"": null, ""inversion_flicker_warn"": false, ""long_frame_intervals"": 1, ""max_frame_interval_ms"": 20.89999999999418, ""mean_frame_interval_ms"": 4.169433773175207, ""mode"": ""temporal"", ""n"": 4, ""noise_residual"": 0, ""observed_effective_cycle_hz"": 59.96018011088686, ""observed_full_cycle_hz"": 59.96018011088686, ""observed_refresh_hz"": 239.84072044354744, ""per_cycle_slots"": 4, ""permutation"": [2, 0, 1, 3], ""refresh_hz"": 238.09523809529998, ""rendered_frames"": 5988, ""safe_flicker_hz"": 50, ""timing_intervals"": 5987, ""width"": 900}"
